Story,Victim(s),Crime type,Notes
The Naval Treaty,Percy Phelps / Foreign Office,theft,Secret treaty stolen from Phelps’s custody.
The Opal Serpent,Lady Rachel Sandal; Aaron Norman,murder; murder,
The Problem of Thor Bridge,Maria Gibson,death (suicide staged as murder),
The Red-Headed League,Jabez Wilson,fraud/robbery plot target,Pawnshop owner duped to facilitate bank robbery.
The Riddle of the Purple Emperor,The Honourable Miss Cheyne,murder,
The Secret Adversary,Mrs. Rita Vandemeyer,murder,Other deaths occur off‑stage.
The Sign of the Four,Bartholomew Sholto,murder,Agra treasure theft is central to the plot.
The Sturgis Wager: A Detective Story,Multiple victims,serial murders,
The Teeth of the Tiger,M. Fauville; several heirs of Mr. Mornington,murder (multiple),
The Unpleasantness at the Bellona Club,General Arthur Fentiman,murder,
The Valley of Fear,Ted Baldwin (actual); John Douglas (apparent),murder; staged identity,Twist reveals the 'apparent victim' is alive.
Trent's Last Case,Sigsbee Manderson,murder,
Unnatural Death,Miss Agatha Dawson,murder,
Whose Body? A Lord Peter Wimsey Novel,Sir Reuben Levy; unidentified vagrant (body in the bath),murder; murder,Two distinct victims.
X Y Z: A Detective Story,Mr. Benson,murder,Opening chapters identify him as the victim.
