character1,character2
Mr. Turner Parker,Professor Behar
Mr. Turner Parker,Master Bach
Mr. Turner Parker,Miss Dano Adam
Mr. Turner Parker,Mr. Bach Adam
Miss Harris Benning,Master Bach
THE HONOURABLE MISS HARRIS,Professor Behar
Connelly Dookie,Jason Mcconaughey
Lieutenant Gable,Mr. Kauffman O'neal
THE HONOURABLE MISS HARRIS,Master Bach
Sir Zhang,Mr. Behar Quaid
